Analysis Neighborhood,Incident Year-Month,Incident Datetime
Lincoln Park,2021-05,9
Lincoln Park,2021-06,20
Lincoln Park,2021-07,8
Lincoln Park,2021-08,6
Lincoln Park,2021-09,7
Lincoln Park,2021-10,15
Lincoln Park,2021-11,7
Lincoln Park,2021-12,10
Lincoln Park,2022-01,10
Lincoln Park,2022-02,4
Lincoln Park,2022-03,10
Lincoln Park,2022-04,8
Lincoln Park,2022-05,5
Lincoln Park,2022-06,6
Lincoln Park,2022-07,8
Lincoln Park,2022-08,8
Lincoln Park,2022-09,1
Lincoln Park,2022-10,4
Lincoln Park,2022-11,12
Lincoln Park,2022-12,9
Lone Mountain/USF,2018-01,48
Lone Mountain/USF,2018-02,42
Lone Mountain/USF,2018-03,53
Lone Mountain/USF,2018-04,48
Lone Mountain/USF,2018-05,41
Lone Mountain/USF,2018-06,43
Lone Mountain/USF,2018-07,47
Lone Mountain/USF,2018-08,38
Lone Mountain/USF,2018-09,41
Lone Mountain/USF,2018-10,67
Lone Mountain/USF,2018-11,49
Lone Mountain/USF,2018-12,54
Lone Mountain/USF,2019-01,31
Lone Mountain/USF,2019-02,44
Lone Mountain/USF,2019-03,26
Lone Mountain/USF,2019-04,34
Lone Mountain/USF,2019-05,37
Lone Mountain/USF,2019-06,36
Lone Mountain/USF,2019-07,58
Lone Mountain/USF,2019-08,48
Lone Mountain/USF,2019-09,46
Lone Mountain/USF,2019-10,50
Lone Mountain/USF,2019-11,40
