Analysis Neighborhood,Incident Year-Month,Incident Datetime
Lincoln Park,2020-02,1
Lincoln Park,2020-06,1
Lincoln Park,2020-08,3
Lincoln Park,2020-11,1
Lincoln Park,2020-12,3
Lincoln Park,2021-01,2
Lincoln Park,2021-02,1
Lincoln Park,2021-03,2
Lincoln Park,2021-05,2
Lincoln Park,2021-06,1
Lincoln Park,2021-07,1
Lincoln Park,2021-10,2
Lincoln Park,2021-11,4
Lincoln Park,2021-12,1
Lincoln Park,2022-02,1
Lincoln Park,2022-03,3
Lincoln Park,2022-06,6
Lincoln Park,2022-07,1
Lincoln Park,2022-08,2
Lincoln Park,2022-11,3
Lone Mountain/USF,2018-01,21
Lone Mountain/USF,2018-02,25
Lone Mountain/USF,2018-03,20
Lone Mountain/USF,2018-04,30
Lone Mountain/USF,2018-05,14
Lone Mountain/USF,2018-06,13
Lone Mountain/USF,2018-07,23
Lone Mountain/USF,2018-08,12
Lone Mountain/USF,2018-09,26
Lone Mountain/USF,2018-10,36
Lone Mountain/USF,2018-11,17
Lone Mountain/USF,2018-12,19
Lone Mountain/USF,2019-01,16
Lone Mountain/USF,2019-02,23
Lone Mountain/USF,2019-03,18
Lone Mountain/USF,2019-04,16
Lone Mountain/USF,2019-05,24
Lone Mountain/USF,2019-06,26
Lone Mountain/USF,2019-07,31
Lone Mountain/USF,2019-08,13
Lone Mountain/USF,2019-09,23
Lone Mountain/USF,2019-10,20
Lone Mountain/USF,2019-11,17
Lone Mountain/USF,2019-12,13
Lone Mountain/USF,2020-01,15
Lone Mountain/USF,2020-02,17
Lone Mountain/USF,2020-03,16
Lone Mountain/USF,2020-04,10
Lone Mountain/USF,2020-05,7
Lone Mountain/USF,2020-06,17
Lone Mountain/USF,2020-07,12
Lone Mountain/USF,2020-08,16
Lone Mountain/USF,2020-09,20
Lone Mountain/USF,2020-10,8
Lone Mountain/USF,2020-11,8
Lone Mountain/USF,2020-12,17
Lone Mountain/USF,2021-01,16
Lone Mountain/USF,2021-02,24
Lone Mountain/USF,2021-03,22
Lone Mountain/USF,2021-04,14
Lone Mountain/USF,2021-05,10
Lone Mountain/USF,2021-06,14
Lone Mountain/USF,2021-07,27
